code|name|active
10201723|{"en_US":"ROSAL VIVO KENTUCKY"}|True
10201724|{"en_US":"ROSAL VIVO KINGS PRIDE"}|True
10201725|{"en_US":"ROSAL VIVO LATIN FUSION"}|True
10201726|{"en_US":"ROSAL VIVO LEMON DREAM"}|True
10201727|{"en_US":"ROSAL VIVO MAGIC MOKA"}|True
10201728|{"en_US":"ROSAL VIVO MAMAMIA"}|True
10201729|{"en_US":"ROSAL VIVO MESSAGE"}|True
10201730|{"en_US":"ROSAL VIVO MUNECA O MUNIECA"}|True
10201731|{"en_US":"ROSAL VIVO PARFUM DE ROSAS"}|True
10201732|{"en_US":"ROSAL VIVO PORCELINA"}|True
10201733|{"en_US":"ROSAL VIVO PRIVILEGE"}|True
10201734|{"en_US":"ROSAL VIVO QUICKSAND"}|True
10201735|{"en_US":"ROSAL VIVO ROLLERCOASTER"}|True
10201736|{"en_US":"ROSAL VIVO ROMANTIC CURIOSA"}|True
10201737|{"en_US":"ROSAL VIVO SAFARI"}|True
10201738|{"en_US":"ROSAL VIVO SAHARA"}|True
10201739|{"en_US":"ROSAL VIVO SANDY FEMMA"}|True
10201740|{"en_US":"ROSAL VIVO TALEA"}|True
10201741|{"en_US":"ROSAL VIVO TIMELESS"}|True
10201742|{"en_US":"ROSAL VIVO TRANSITION"}|True
10201743|{"en_US":"ROSAL VIVO TRUMP"}|True
10201744|{"en_US":"ROSAL VIVO TWIN"}|True
10201745|{"en_US":"ROSAL VIVO VENDELA"}|True
10201746|{"en_US":"ROSAL VIVO VIRGINIA"}|True
10201801|{"en_US":"ROSAL VIVO AMANDINE"}|True
10201802|{"en_US":"ROSAL VIVO CAIPIRINHA"}|True
10201803|{"en_US":"ROSAL VIVO GREEN FASHION"}|True
10201804|{"en_US":"ROSAL VIVO GREEN TEA"}|True
10201805|{"en_US":"ROSAL VIVO JADE"}|True
10201806|{"en_US":"ROSAL VIVO LIMBO"}|True
10201807|{"en_US":"ROSAL VIVO LIMENA O LIMENIA"}|True
10201808|{"en_US":"ROSAL VIVO LIMONA"}|True
10201809|{"en_US":"ROSAL VIVO OLD DUTCH"}|True
10201810|{"en_US":"ROSAL VIVO SUPER GREEN"}|True
10201811|{"en_US":"ROSAL VIVO SWEET GREEN"}|True
10201812|{"en_US":"ROSAL VIVO VIVA"}|True
10201813|{"en_US":"ROSAL VIVO ZAZU"}|True
10201901|{"en_US":"ROSAL VIVO ANNA"}|True
10201902|{"en_US":"ROSAL VIVO BELLA VITA"}|True
10201903|{"en_US":"ROSAL VIVO BRIDAL DREAM"}|True
10201904|{"en_US":"ROSAL VIVO CANDY BIANCA"}|True
10201905|{"en_US":"ROSAL VIVO CARESS"}|True
10201906|{"en_US":"ROSAL VIVO CAROLINA "}|True
10201907|{"en_US":"ROSAL VIVO CLIMAX "}|True
10201908|{"en_US":"ROSAL VIVO DANNY "}|True
10201909|{"en_US":"ROSAL VIVO DOLCE VITA "}|True
10201910|{"en_US":"ROSAL VIVO ELITE"}|True
10201911|{"en_US":"ROSAL VIVO EMMA"}|True
10201912|{"en_US":"ROSAL VIVO ENGAGEMENT"}|True
10201913|{"en_US":"ROSAL VIVO ESTHER"}|True
10201914|{"en_US":"ROSAL VIVO EXCALIBUR"}|True
10201915|{"en_US":"ROSAL VIVO EXCITING"}|True
10201916|{"en_US":"ROSAL VIVO FIRST LADY"}|True
10201917|{"en_US":"ROSAL VIVO GERALDINE"}|True
10201918|{"en_US":"ROSAL VIVO GOTCHA"}|True
10201919|{"en_US":"ROSAL VIVO HARMONIE"}|True
10201920|{"en_US":"ROSAL VIVO HEAVEN"}|True
10201921|{"en_US":"ROSAL VIVO HIGH AND ELEGANT"}|True
10201922|{"en_US":"ROSAL VIVO KATHERINE"}|True
10201923|{"en_US":"ROSAL VIVO KING KONG"}|True
10201924|{"en_US":"ROSAL VIVO LIVIA"}|True
10201925|{"en_US":"ROSAL VIVO LORENA"}|True
10201926|{"en_US":"ROSAL VIVO LOVELY"}|True
10201927|{"en_US":"ROSAL VIVO MAAIKE"}|True
10201928|{"en_US":"ROSAL VIVO MARILYN"}|True
10201929|{"en_US":"ROSAL VIVO MARLISE"}|True
10201930|{"en_US":"ROSAL VIVO MIRANDA O AUSIMMON"}|True
10201931|{"en_US":"ROSAL VIVO MONA LISA"}|True
10201932|{"en_US":"ROSAL VIVO NIRVANA"}|True
10201933|{"en_US":"ROSAL VIVO O HARA"}|True
10201934|{"en_US":"ROSAL VIVO OLE"}|True
10201935|{"en_US":"ROSAL VIVO OLGA"}|True
10201936|{"en_US":"ROSAL VIVO PACÍFICA"}|True
10201937|{"en_US":"ROSAL VIVO PARTY MIX"}|True
10201938|{"en_US":"ROSAL VIVO PECKOUBO O PEKCOUBO"}|True
10201939|{"en_US":"ROSAL VIVO PHOEBE O AUSNOTICE"}|True
10201940|{"en_US":"ROSAL VIVO PINK FARFALLA"}|True
10201941|{"en_US":"ROSAL VIVO PINK FINESS"}|True
10201942|{"en_US":"ROSAL VIVO PINK MAGIC"}|True
10201943|{"en_US":"ROSAL VIVO PINK OSIANA"}|True
10201944|{"en_US":"ROSAL VIVO PRETTY WOMAN"}|True
10201945|{"en_US":"ROSAL VIVO ROMANCE"}|True
10201946|{"en_US":"ROSAL VIVO ROMANTIC ANTIKE O ANTIQUE"}|True
10201947|{"en_US":"ROSAL VIVO ROSALIND O ASTEW"}|True
10201948|{"en_US":"ROSAL VIVO ROSITA VENDELA"}|True
10201949|{"en_US":"ROSAL VIVO SECRET GARDEN"}|True
10201950|{"en_US":"ROSAL VIVO SOLAIRE"}|True
10201951|{"en_US":"ROSAL VIVO SOPHIE"}|True
10201952|{"en_US":"ROSAL VIVO SWEET AKITO"}|True
10201953|{"en_US":"ROSAL VIVO SWEET AVALANCHE"}|True
10201954|{"en_US":"ROSAL VIVO SWEET ELEGANCE"}|True
10201955|{"en_US":"ROSAL VIVO SWEET PINK"}|True
10201956|{"en_US":"ROSAL VIVO TITANIC"}|True
10201957|{"en_US":"ROSAL VIVO TOSCANINI"}|True
10201958|{"en_US":"ROSAL VIVO VANIA"}|True
10201959|{"en_US":"ROSAL VIVO VANITY"}|True
10201960|{"en_US":"ROSAL VIVO VISION"}|True
10201961|{"en_US":"ROSAL VIVO VIVALDI"}|True
10201962|{"en_US":"ROSAL VIVO WHISPER"}|True
